,Playoffs,Run_Differential
0,0,46
1,1,100
2,1,7
3,0,-72
4,0,-146
5,0,72
6,1,81
7,0,-178
8,0,-132
9,1,56
10,0,-211
11,0,-70
12,0,68
13,0,40
14,0,-115
15,0,43
16,0,-131
17,0,-59
18,1,136
19,1,99
20,0,4
21,0,-23
22,0,-59
23,0,-32
24,1,69
25,1,117
26,0,120
27,1,101
28,0,-68
29,1,137
30,1,69
31,0,36
32,0,-152
33,0,138
34,0,-102
35,0,-52
36,0,15
37,0,-56
38,0,-39
39,1,76
40,0,-77
41,0,-181
42,0,-32
43,0,34
44,0,32
45,1,83
46,0,-185
47,0,-24
48,1,210
49,0,-34
50,1,184
51,0,-102
52,0,-18
53,0,-119
54,0,-8
55,1,70
56,1,93
57,1,178
58,0,-18
59,0,-19
60,0,-123
61,1,109
62,0,-172
63,0,74
64,0,-82
65,0,48
66,1,105
67,0,-106
68,0,53
69,0,8
70,0,2
71,0,-118
72,0,-169
73,0,-21
74,0,-25
75,0,-54
76,1,110
77,0,4
78,1,166
79,0,37
80,1,132
81,0,-279
82,0,84
83,0,-185
84,1,114
85,0,95
86,1,153
87,1,100
88,0,27
89,0,-87
90,0,-62
91,0,94
92,0,-135
93,1,136
94,0,35
95,0,-8
96,0,-50
97,0,-92
98,1,89
99,0,-2
100,0,6
101,0,-127
102,0,-156
103,1,122
104,1,169
105,0,-33
106,1,52
107,0,-86
108,1,162
109,0,-2
110,1,111
111,0,-132
112,0,-131
113,0,-52
114,0,46
115,1,90
116,0,49
117,0,44
118,0,27
119,0,-164
120,0,14
121,0,-25
122,0,-87
123,1,151
124,1,184
125,1,82
126,0,-96
127,0,44
128,0,-75
129,0,-36
130,0,3
131,0,-31
132,0,-90
133,1,68
134,1,52
135,1,61
136,0,84
137,0,84
138,0,62
139,0,-44
140,1,119
141,0,-149
142,0,-127
143,0,-140
144,0,-119
145,0,54
146,1,103
147,0,-66
148,0,104
149,0,-184
150,1,-20
151,0,77
152,0,-112
153,1,210
154,1,62
155,0,-146
156,0,-70
157,1,107
158,1,102
159,0,90
160,0,-101
161,0,-90
162,0,-72
163,1,91
164,0,8
165,0,25
166,0,-7
167,0,54
168,1,191
169,0,-17
170,1,71
171,0,-122
172,0,75
173,0,-19
174,0,-37
175,0,-104
176,0,-162
177,0,-28
178,0,54
179,0,-110
180,0,-15
181,0,44
182,0,-131
183,0,-5
184,0,-118
185,0,74
186,0,-52
187,0,88
188,0,1
189,1,147
190,0,-14
191,0,16
192,0,-214
193,0,34
194,1,69
195,0,-103
196,1,118
197,1,103
198,1,163
199,1,44
200,0,53
201,0,-106
202,1,52
203,0,-36
204,0,-44
205,1,19
206,0,-167
207,0,51
208,0,55
209,0,-126
210,0,-160
211,1,95
212,0,-71
213,1,105
214,0,-11
215,1,96
216,0,-69
217,0,148
218,0,-122
219,0,-64
220,0,-15
221,1,84
222,0,-234
223,1,118
224,0,-70
225,0,29
226,0,26
227,0,74
228,1,97
229,0,114
